FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240413;2300;279;;;
240414;0000;257;;;
240414;0100;104;;;
240414;0200;167;;;
240414;0300;89;;;
240414;0400;81;;;
240414;0500;47;;;
240414;0600;43;;;
240414;0700;98;;;
240414;0800;32;;;
240414;0900;60;;;
240414;1000;61;;;
240414;1100;31;;;
240414;1200;26;;;
240414;1300;26;;;
240414;1400;13;;;
240414;1500;8;;;
240414;1600;8;;;
240414;1700;20;;;
240414;1800;48;;;
240414;1900;96;;;
240414;2000;217;;;
240414;2100;64;;;
240414;2200;103;;;
240414;2300;150;;;
240415;0000;67;;;
240415;0100;44;;;
240415;0200;49;;;
240415;0300;38;;;
240415;0400;31;;;
240415;0500;30;;;
240415;0600;37;;;
240415;0700;145;;;
240415;0800;122;;;
240415;0900;54;;;
240415;1000;11;;;
240415;1100;8;;;
240415;1200;8;;;
240415;1300;9;;;
240415;1400;9;;;
240415;1500;5;;;
240415;1600;7;;;
240415;1700;18;;;
240415;1800;34;;;
240415;1900;49;;;
240415;2000;36;;;
240415;2100;67;;;
240415;2200;29;;;
240415;2300;39;;;
240416;0000;57;;;
240416;0100;10;;;
240416;0200;8;;;
240416;0300;5;;;
240416;0400;3;;;
240416;0500;2;;;
240416;0600;3;;;
240416;0700;17;;;
240416;0800;19;;;
240416;0900;18;;;
240416;1000;6;;;
240416;1100;7;;;
240416;1200;5;;;
240416;1300;3;;;
240416;1400;3;;;
240416;1500;15;;;
240416;1600;11;;;
240416;1700;21;;;
240416;1800;27;;;
240416;1900;15;;;
240416;2000;21;;;
240416;2100;21;;;
240416;2200;25;;;
240416;2300;10;;;
240417;0000;9;;;
240417;0100;5;;;
240417;0200;3;;;
240417;0300;4;;;
240417;0400;4;;;
240417;0500;6;;;
240417;0600;20;;;
240417;0700;33;;;
240417;0800;45;;;
240417;0900;14;;;
240417;1000;9;;;
240417;1100;7;;;
240417;1200;5;;;
240417;1300;3;;;
240417;1400;6;;;
240417;1500;5;;;
240417;1600;5;;;
240417;1700;17;;;
240417;1800;57;;;
240417;1900;51;;;
240417;2000;63;;;
240417;2100;23;;;
240417;2200;26;;;
240417;2300;63;;;
240418;0000;65;;;
240418;0100;25;;;
240418;0200;21;;;
240418;0300;26;;;
240418;0400;20;;;
240418;0500;19;;;
240418;0600;24;;;
240418;0700;79;;;
240418;0800;19;;;
240418;0900;54;;;
240418;1000;44;;;
240418;1100;34;;;
240418;1200;29;;;
240418;1300;30;;;
240418;1400;17;;;
240418;1500;18;;;
240418;1600;27;;;
240418;1700;40;;;
240418;1800;52;;;
240418;1900;52;;;
240418;2000;68;;;
240418;2100;43;;;
240418;2200;76;;;
240418;2300;24;;;
240419;0000;18;;;
240419;0100;23;;;
240419;0200;22;;;
240419;0300;15;;;
240419;0400;9;;;
240419;0500;13;;;
240419;0600;8;;;
240419;0700;23;;;
240419;0800;30;;;
240419;0900;28;;;
240419;1000;17;;;
240419;1100;15;;;
240419;1200;11;;;
240419;1300;9;;;
240419;1400;15;;;
240419;1500;11;;;
240419;1600;15;;;
240419;1700;15;;;
240419;1800;12;;;
240419;1900;15;;;
240419;2000;11;;;
240419;2100;13;;;
240419;2200;18;;;
240419;2300;10;;;
240420;0000;13;;;
240420;0100;13;;;
240420;0200;7;;;
240420;0300;7;;;
240420;0400;4;;;
240420;0500;3;;;
240420;0600;5;;;
240420;0700;17;;;
240420;0800;33;;;
240420;0900;23;;;
240420;1000;15;;;
240420;1100;12;;;
240420;1200;9;;;
240420;1300;9;;;
240420;1400;6;;;
240420;1500;7;;;
240420;1600;16;;;
240420;1700;22;;;
240420;1800;45;;;
240420;1900;72;;;
240420;2000;85;;;
240420;2100;111;;;
240420;2200;85;;;
240420;2300;53;;;
240421;0000;31;;;
240421;0100;38;;;
240421;0200;63;;;
240421;0300;57;;;
240421;0400;56;;;
240421;0500;44;;;
240421;0600;37;;;
240421;0700;53;;;
240421;0800;52;;;
240421;0900;25;;;
240421;1000;44;;;
240421;1100;26;;;
240421;1200;15;;;
240421;1300;9;;;
240421;1400;18;;;
240421;1500;17;;;
240421;1600;25;;;
240421;1700;43;;;
240421;1800;215;;;
240421;1900;313;;;
240421;2000;185;;;
240421;2100;222;;;
240421;2200;374;;;
240421;2300;445;;;
240422;0000;399;;;
240422;0100;346;;;
240422;0200;258;;;
240422;0300;84;;;
240422;0400;128;;;
240422;0500;86;;;
240422;0600;129;;;
240422;0700;143;;;
240422;0800;142;;;
240422;0900;58;;;
240422;1000;88;;;
240422;1100;63;;;
240422;1200;26;;;
240422;1300;33;;;
240422;1400;66;;;
240422;1500;52;;;
240422;1600;13;;;
240422;1700;48;;;
240422;1800;61;;;
240422;1900;43;;;
240422;2000;40;;;
240422;2100;71;;;
240422;2200;79;;;
240422;2300;45;;;
240423;0000;39;;;
240423;0100;32;;;
240423;0200;60;;;
240423;0300;22;;;
240423;0400;19;;;
240423;0500;23;;;
240423;0600;16;;;
240423;0700;25;;;
240423;0800;21;;;
240423;0900;40;;;
240423;1000;14;;;
240423;1100;9;;;
240423;1200;6;;;
240423;1300;6;;;
240423;1400;4;;;
240423;1500;9;;;
240423;1600;8;;;
240423;1700;31;;;
240423;1800;116;;;
240423;1900;233;;;
240423;2000;252;;;
240423;2100;399;;;
240423;2200;192;;;
240423;2300;120;;;
240424;0000;132;;;
240424;0100;25;;;
240424;0200;65;;;
240424;0300;34;;;
240424;0400;39;;;
240424;0500;19;;;
240424;0600;29;;;
240424;0700;70;;;
240424;0800;60;;;
240424;0900;99;;;
240424;1000;63;;;
240424;1100;61;;;
240424;1200;68;;;
240424;1300;29;;;
240424;1400;29;;;
240424;1500;33;;;
240424;1600;39;;;
240424;1700;68;;;
